cluster,top_ingredients
0,"burritosize flour tortilla, colbymonterey jack cheese, tortilla, taco shell, taco seasoning, taco sauce, taco cheese, salsa, refried beans, nacho chip"
1,"absolut kurant vodka, casaba melon, tequila, tamarind nectar, sparkling apple juice, sierra mist, pink grapefruit slices, martini mix, mandarin liqueur, lime zest"
2,"baby banana puree, sloe gin, orange zest, orangeflavored rum, passion fruit liqueur, peach schnapps, pineapple schnapps, pomegranate vodka, smirnoff no vodka, blackberry brandy"
3,"arrowroot cookies, banana, v fusion strawberry banana juice, v fusion light peach mango juice, sugarfree banana cream pudding mix, sour cherry marmalade, smuckers sugarfree strawberry jam, reducedfat blackberry yogurt, pineapple sorbet, omega oil"
4,"andes mint parfait thins, birds custard mix, cadbury caramello chocolate bars, coconut gel, disposable spoons, flexible plastic straws, folgers caramel groove cafe latte mix, jam roll, kahluaflavored syrup, semisweet dark chocolate baking bar"
5,"lemon, momokawa silver sake, oat biscuits, raspberry schnapps, seville oranges, spanish brandy, starkist lemon and cracked pepper tuna fillets, strawberry vodka, sundried tomato olive basil rub, tilapia loins"
6,"caramel yogurt, chocolate cream, cream cheese, fresca soda, imported soy sauce, inch chocolate cookie crumb crust, jello instant lemon pudding, prepared sugarfree brownies, red horseradish, simply potatoes garlic and herb hash browns"
7,"chocolate ripple ice cream, dill sauce, gevalia dark roast, herbsaint, italian soda, malaga wine, nasturtium blossoms, peach soda, raisin granola, shochu"
8,"any desired flavoring, cherry powdered drink mix, cochineal, fatfree cookies, gummy fish, ice wine, koolaid, koshian, lamunchi, lychee syrup"
9,"apple cinnamon cheerios, bergamot leaves, blueberry schnapps, cranberry vodka, frozen mexicanstyle vegetables, green jello, jambalaya spice, nigari, ragi flour, sugarfree pineapple jelly crystals"
10,"banana milk, chex mix sweet and salty trail mix, toasted coconut marshmallows, rapadura, pooper scooper, planters sliced almonds, pink vanilla funfetti frosting, pillsbury plus devils food cake mix, paper drink umbrellas, onion skins"
11,"banana syrup, hazelnut powder, stella doro anisette toast, praline syrup, powdered jaggery, orange koolaid, mintflavored herbal tea bags, mini jelly rolls, milk, mango ice cream"
12,"allbran cereal, buckwheat flour, natural bran, oat flour, soy flour, spelt flour, toasted wheat germ, wheat bran, wheat flour, wheat germ"
13,"bakers special dry milk, nonfat dry milk powder, yeast, whole wheat bread flour, white bread flour, wheat gluten, warm water, vitamin c powder, vital wheat gluten, sourdough starter"
14,"coffeeflavor soymilk, confectioners coating, diet root beer, earth balance shortening, evaporated goats milk, fat free coffeemate, melba sauce, pear halves in syrup, powdered fat free nondairy coffee creamer, reduced sugar devils food cake mix"
15,"coconut milk, red curry paste, thai red chili pepper, thai fish sauce, thai curry paste, thai chile, thai basil, shrimp paste, rice vermicelli, red chilies"
16,"argan oil, geranium leaf, sweetened condensed coconut milk, spicebush twigs, rue, powdered peanut butter, honey vanilla white chai tea bag, honey nut granola, honey, fiber one caramel delight cereal"
17,"butter, knudsen sour cream, scotch finger biscuits, peppermint milk chocolate, peanut butter captain crunch cereal, mozzarella cheese with sundried tomatoes and basil, mars bars, macapuno strings, lucky charms cereal, jamon serrano"
18,"ahmed brand vermicelli, kremelta, vita brits, smart start cereal, sapodilla, royal ann cherries, raisins, pretzel rings, nestle sugarfree turtles, gummy bears"
19,"blackberry spreadable fruit, caffeinefree instant coffee, catnip, crystal light orange drink mix, ground allspice, ground cinnamon, ground nutmeg, ground sassafras leaves, instant tea powder, multigrain flakes cereal with oat clusters cranberries and almonds"
20,"cheesestuffed shells, frozen glutenfree waffle, italian sauce, mozzarella cheese, pasta sauce, pepperoni, pepperoni slice, pizza dough, pizza sauce, prepared pizza"
21,"bologna, pickle, sweet gherkin, salad macaroni, relish, pimiento cheese spread, pickle relish, pickle juice, olivepimento cheese spread, dill pickle"
22,"bugles original flavor snacks, cheese nips, corn chex, crunchy sweetened corn and oat cereal, garlic bagel chips, glutenfree corn flakes, glutenfree crackers, glutenfree pretzels, i cant believe its not butter original stick, pretzel stick"
23,"bacon, bacon drippings, coating mix, horseradish cheddar cheese, huntscae tomato sauce with basilc garlic and oreganoc undrained, huntsregb diced tomatoes with basilc garlic and oregano, original bisquickcae mix, simply potatoes rosemary garlic red potato wedges, toothpick, veal liver"
24,"blackberry syrup, ginger wafer cookie, ground cranberries, honeynougat chocolate bar, maple liqueur, mccormickcae cinnamon, presunto, sugarfree raspberry fruit spread, trail mix bars, vochelle cocoa cooking chocolate"
25,"chocolate fudge cake, egg white, fat free beef and pork hot dogs, glace pineapple rings, green seedless grape clusters, pillsbury cornbread twists, refrigerated whole wheat biscuit dough, snack mix, sponge cake fingers, white cake layers"
26,"deep dish pie shell, inbaked pastry shell, inch baked pie crust, inch pie shell, pastry shells, pie crust, pie pastry, pie shell, refrigerated pie crust, unbaked inch deep dish pie pastry"
27,"alfredo noodles mix, barbecue potato chips, campbells condensed creamy verde soup, chicken coating mix, fatfree balsamic vinegar, frozen mozzarella garlic bread, hidden valley original ranch cheddar and parmesan dressing, jambalaya rice mix, lawrys mesquite marinade, low fat biscuits"
28,"bourbon biscuits, bushmills whiskey, chocolate hazelnut chocolate chip biscuits, havarti with caraway, nabisco social tea biscuits, roqaq, snapper steaks, unsalted butter, unsalted matzos, weisswurst sausages"
29,"apricot jello, crookneck yellow squash, fruit jell, indian spicy mango pickle, korma sauce, pesto garlic tortillas, philadelphia italian cheese and herb cooking creme, roasted red pepper pesto, seasoned rice vinegar with roasted garlic, summer squash"
30,"chunky turkey pot pie soup, dried kelp granules, el torito adobo al pastor sauce, granary bread, lamb baby food, lightlife turkey slices, middle loin chops, morningstar farms original chik patty, muskellunge, pickerel"
31,"allfruit preserves, dijon mustard, frozen chicken nibbles, miracle whip caloriewise, sourdough cocktail bread, standing ribs, sugarfree whole wheat bread, turkey steaks, walnut vinegar, white burgundy"
