method,cluster_id,cluster_size,top_ingredients
Agglomerative,0,403,"garlic powder, worcestershire sauce, ketchup, onion powder, vinegar, dry mustard, white vinegar, season salt, garlic salt, tabasco sauce"
Agglomerative,1,431,"salt, egg, flour, baking powder, baking soda, walnuts, buttermilk, whole wheat flour, shortening, dry yeast"
Agglomerative,2,577,"onion, garlic clove, carrot, celery, bay leaf, chicken broth, celery rib, meat broth, rice, frozen peas"
Agglomerative,3,328,"tomatoes, red onion, dijon mustard, cucumber, red wine vinegar, feta cheese, romaine lettuce, kalamata olive, lettuce leaf, blue cheese"
Agglomerative,4,389,"allpurpose flour, unsalted butter, heavy cream, fresh lemon, egg yolk, confectioners sugar, lemon zest, whole milk, strawberries, lemon rind"
Agglomerative,5,124,"oil, potato, fresh cream, french beans, haddock, polska kielbasa, barbecued pork, ground dried chile, cheshire cheese, green bananas"
Agglomerative,6,469,"chili powder, ground cumin, ground beef, tomato sauce, cumin, diced tomato, black beans, lean ground beef, ground coriander, corn"
Agglomerative,7,154,"skinless chicken breast, zucchini, yellow squash, ranch dressing, teriyaki sauce, summer squash, sweet and sour sauce, garlic herb spreadable cheese, stirfry sauce, teriyaki marinade"
Agglomerative,8,203,"sugar, lemon juice, cornstarch, blueberries, cold water, peach, pie crust, rhubarb, pie shell, blackberries"
Agglomerative,9,192,"vegetable oil, caster sugar, icing sugar, yellow cake mix, self rising flour, creamed corn, vanilla essence, selfraising flour, sausage, puff pastry"
Agglomerative,10,163,"raisins, almonds, apple, dried apricot, slivered almonds, sliced almonds, sunflower seeds, dates, currants, blanched almond"
Agglomerative,11,306,"olive oil, virgin olive oil, limec juice of, flat leaf parsley, capers, cherry tomatoes, plum tomato, eggplant, chickpeas, plain yogurt"
Agglomerative,12,281,"brown sugar, cinnamon, ground cinnamon, nutmeg, ground ginger, ground cloves, ground nutmeg, apples, molasses, allspice"
Agglomerative,13,273,"vanilla, semisweet chocolate chips, chocolate chips, white sugar, nuts, peanut butter, corn syrup, cocoa, cocoa powder, semisweet chocolate"
Agglomerative,14,201,"cream cheese, cool whip, boiling water, sweetened condensed milk, crushed pineapple, graham cracker crumbs, mini marshmallows, whipped topping, instant pudding mix, instant vanilla pudding"
Agglomerative,15,125,"granulated sugar, pecans, caramel topping, caramel, butterscotch pudding, vanilla caramels, kraft caramels, nestlccae toll housecae dark chocolate morsels, rolo chocolates, cinnamon rolls"
Agglomerative,16,1414,"pepper, garlic, salt pepper, black pepper, green onion, sour cream, paprika, fresh parsley, parsley, green pepper"
Agglomerative,17,211,"cilantro, jalapeno pepper, jalapeno, lime, corn tortilla, cilantro leaf, of fresh mint, mint leaf, salmon fillet, serrano chili"
Agglomerative,18,184,"cheddar cheese, cream of mushroom soup, cream of chicken soup, sliced mushrooms, fresh mushrooms, egg noodles, velveeta cheese, elbow macaroni, cream of celery soup, frozen broccoli"
Agglomerative,19,250,"banana, lowfat yogurt, ice cube, pineapple juice, ice, mango, pineapple, mandarin orange, frozen strawberries, seedless grapes"
Agglomerative,20,339,"butter, mayonnaise, swiss cheese, sharp cheddar cheese, halfandhalf, bread, hardboiled egg, ham, white bread, french bread"
Agglomerative,21,82,"lime juice, lime zest, tequila, cantaloupe, club soda, watermelon, mint sprig, lime slice, lime rind, lime peel"
Agglomerative,22,132,"salsa, avocado, monterey jack cheese, flour tortilla, green chili, taco seasoning, cheese, lettuce, black olives, tortilla chips"
Agglomerative,23,390,"soy sauce, sesame oil, sesame seeds, rice vinegar, gingerroot, peanut oil, low sodium soy sauce, hoisin sauce, cooked rice, rice wine vinegar"
Agglomerative,24,140,"egg white, skim milk, cooking spray, lowfat milk, cream of tartar, nonfat milk, nonstick cooking spray, fat cottage cheese, partskim mozzarella cheese, fat free cheese"
Agglomerative,25,270,"shallot, dry wine, white wine, fresh thyme, fresh rosemary, shrimp, cream, fresh chives, large shrimp, red potatoes"
Agglomerative,26,117,"lemon, orange, oranges, whole chicken, roasting chicken, lemonade, whole turkey, red snapper, trout, string"
Agglomerative,27,124,"mozzarella cheese, pasta sauce, ricotta cheese, italian seasoning, frozen spinach, pepperoni, provolone cheese, lasagna noodles, cottage cheese, pizza sauce"
Agglomerative,28,162,"vanilla extract, maple syrup, splenda sugar substitute, soymilk, splenda granular, coconut oil, agave nectar, sugar substitute, artificial sweetener, splenda brown sugar blend"
Agglomerative,29,58,"milk, hostess twinkie, pearl tapioca, powdered chocolate milk mix, ice cream sandwich, hazelnut syrup, coconut syrup, butterscotch syrup, almond syrup, rose syrup"
Agglomerative,30,143,"powdered sugar, almond extract, red food coloring, lemon extract, ground almonds, food coloring, raspberry jam, yellow food coloring, strawberry jam, jam"
Agglomerative,31,187,"whipped cream, vanilla ice cream, chocolate syrup, kahlua, coffee, brewed coffee, creme de cacao, ice cream, baileys irish cream, strong coffee"
Agglomerative,32,144,"ginger, fish sauce, coconut milk, lemongrass, spring onion, coriander leaves, red curry paste, cornflour, chili, red chilies"
Agglomerative,33,243,"parmesan cheese, fresh basil, spinach, pine nuts, baby spinach, dry breadcrumbs, italian sausage, sundried tomato, crushed tomatoes, roasted red pepper"
Agglomerative,34,95,"water, star anise, frozen lemonade concentrate, rose water, tea bag, orange flower water, frozen limeade concentrate, tea, frozen lemonade, lemon concentrate"
Agglomerative,35,86,"honey, cornish hen, fresh fig, lavender flowers, blood orange, lavender, duck, duck breast, fresh edible flower, green tea"
Agglomerative,36,168,"orange juice, orange zest, cranberries, orange rind, vodka, cranberry juice, orange marmalade, orange peel, grenadine, ginger ale"
Agglomerative,37,82,"margarine, evaporated milk, unsalted margarine, preserves, club crackers, canned milk, macadamias, toasted rice cereal, brandy extract, fruit leather"
Agglomerative,38,150,"clove, turmeric, curry powder, cumin seed, cinnamon stick, coriander, mustard seeds, garam masala, turmeric powder, red chili powder"
Agglomerative,39,74,"mushroom, veggie burger, sauternes wine, chicken gizzard, stewing veal, pate, unsmoked bacon, bovril powder, sandwich steak, venison tenderloin"
